make,fuel-type,num-of-doors,body-style,drive-wheels,engine-size,horsepower,city-mpg,highway-mpg,price
alfa-romero,gas,two,convertible,rwd,130,111.0,21,27,13495.0
alfa-romero,gas,two,convertible,rwd,130,111.0,21,27,16500.0
alfa-romero,gas,two,hatchback,rwd,152,154.0,19,26,16500.0
audi,gas,four,sedan,fwd,109,102.0,24,30,13950.0
audi,gas,four,sedan,4wd,136,115.0,18,22,17450.0
audi,gas,two,sedan,fwd,136,110.0,19,25,15250.0
audi,gas,four,sedan,fwd,136,110.0,19,25,17710.0
audi,gas,four,wagon,fwd,136,110.0,19,25,18920.0
audi,gas,four,sedan,fwd,131,140.0,17,20,23875.0
bmw,gas,two,sedan,rwd,108,101.0,23,29,16430.0
bmw,gas,four,sedan,rwd,108,101.0,23,29,16925.0
bmw,gas,two,sedan,rwd,164,121.0,21,28,20970.0
bmw,gas,four,sedan,rwd,164,121.0,21,28,21105.0
bmw,gas,four,sedan,rwd,164,121.0,20,25,24565.0
bmw,gas,four,sedan,rwd,209,182.0,16,22,30760.0
bmw,gas,two,sedan,rwd,209,182.0,16,22,41315.0
bmw,gas,four,sedan,rwd,209,182.0,15,20,36880.0
chevrolet,gas,two,hatchback,fwd,61,48.0,47,53,5151.0
chevrolet,gas,two,hatchback,fwd,90,70.0,38,43,6295.0
chevrolet,gas,four,sedan,fwd,90,70.0,38,43,6575.0
dodge,gas,two,hatchback,fwd,90,68.0,37,41,5572.0
dodge,gas,two,hatchback,fwd,90,68.0,31,38,6377.0
dodge,gas,two,hatchback,fwd,98,102.0,24,30,7957.0
dodge,gas,four,hatchback,fwd,90,68.0,31,38,6229.0
dodge,gas,four,sedan,fwd,90,68.0,31,38,6692.0
dodge,gas,four,sedan,fwd,90,68.0,31,38,7609.0
dodge,gas,four,sedan,fwd,98,102.0,24,30,8558.0
dodge,gas,four,wagon,fwd,122,88.0,24,30,8921.0
dodge,gas,two,hatchback,fwd,156,145.0,19,24,12964.0
honda,gas,two,hatchback,fwd,92,58.0,49,54,6479.0
honda,gas,two,hatchback,fwd,92,76.0,31,38,6855.0
honda,gas,two,hatchback,fwd,79,60.0,38,42,5399.0
honda,gas,two,hatchback,fwd,92,76.0,30,34,6529.0
honda,gas,two,hatchback,fwd,92,76.0,30,34,7129.0
honda,gas,four,sedan,fwd,92,76.0,30,34,7295.0
honda,gas,four,wagon,fwd,92,76.0,30,34,7295.0
honda,gas,two,hatchback,fwd,110,86.0,27,33,7895.0
honda,gas,two,hatchback,fwd,110,86.0,27,33,9095.0
honda,gas,four,sedan,fwd,110,86.0,27,33,8845.0
honda,gas,four,sedan,fwd,110,86.0,27,33,10295.0
honda,gas,four,sedan,fwd,110,101.0,24,28,12945.0
honda,gas,two,sedan,fwd,110,100.0,25,31,10345.0
isuzu,gas,four,sedan,rwd,111,78.0,24,29,6785.0
isuzu,gas,two,hatchback,rwd,119,90.0,24,29,11048.0
jaguar,gas,four,sedan,rwd,258,176.0,15,19,32250.0
jaguar,gas,four,sedan,rwd,258,176.0,15,19,35550.0
jaguar,gas,two,sedan,rwd,326,262.0,13,17,36000.0
mazda,gas,two,hatchback,fwd,91,68.0,30,31,5195.0
mazda,gas,two,hatchback,fwd,91,68.0,31,38,6095.0
mazda,gas,two,hatchback,fwd,91,68.0,31,38,6795.0
mazda,gas,four,sedan,fwd,91,68.0,31,38,6695.0
mazda,gas,four,sedan,fwd,91,68.0,31,38,7395.0
mazda,gas,two,hatchback,rwd,70,101.0,17,23,10945.0
mazda,gas,two,hatchback,rwd,70,101.0,17,23,11845.0
mazda,gas,two,hatchback,rwd,70,101.0,17,23,13645.0
mazda,gas,two,hatchback,rwd,80,135.0,16,23,15645.0
mazda,gas,two,hatchback,fwd,122,84.0,26,32,8845.0
mazda,gas,four,sedan,fwd,122,84.0,26,32,8495.0
mazda,gas,two,hatchback,fwd,122,84.0,26,32,10595.0
mazda,gas,four,sedan,fwd,122,84.0,26,32,10245.0
mazda,diesel,four,sedan,fwd,122,64.0,36,42,10795.0
mazda,gas,four,hatchback,fwd,122,84.0,26,32,11245.0
mazda,gas,four,sedan,rwd,140,120.0,19,27,18280.0
mazda,diesel,four,sedan,rwd,134,72.0,31,39,18344.0
mercedes-benz,diesel,four,sedan,rwd,183,123.0,22,25,25552.0
mercedes-benz,diesel,four,wagon,rwd,183,123.0,22,25,28248.0
mercedes-benz,diesel,two,hardtop,rwd,183,123.0,22,25,28176.0
mercedes-benz,diesel,four,sedan,rwd,183,123.0,22,25,31600.0
mercedes-benz,gas,four,sedan,rwd,234,155.0,16,18,34184.0
mercedes-benz,gas,two,convertible,rwd,234,155.0,16,18,35056.0
mercedes-benz,gas,four,sedan,rwd,308,184.0,14,16,40960.0
mercedes-benz,gas,two,hardtop,rwd,304,184.0,14,16,45400.0
mercury,gas,two,hatchback,rwd,140,175.0,19,24,16503.0
mitsubishi,gas,two,hatchback,fwd,92,68.0,37,41,5389.0
mitsubishi,gas,two,hatchback,fwd,92,68.0,31,38,6189.0
mitsubishi,gas,two,hatchback,fwd,92,68.0,31,38,6669.0
mitsubishi,gas,two,hatchback,fwd,98,102.0,24,30,7689.0
mitsubishi,gas,two,hatchback,fwd,110,116.0,23,30,9959.0
mitsubishi,gas,two,hatchback,fwd,122,88.0,25,32,8499.0
mitsubishi,gas,two,hatchback,fwd,156,145.0,19,24,12629.0
mitsubishi,gas,two,hatchback,fwd,156,145.0,19,24,14869.0
mitsubishi,gas,two,hatchback,fwd,156,145.0,19,24,14489.0
mitsubishi,gas,four,sedan,fwd,122,88.0,25,32,6989.0
mitsubishi,gas,four,sedan,fwd,122,88.0,25,32,8189.0
mitsubishi,gas,four,sedan,fwd,110,116.0,23,30,9279.0
mitsubishi,gas,four,sedan,fwd,110,116.0,23,30,9279.0
nissan,gas,two,sedan,fwd,97,69.0,31,37,5499.0
nissan,diesel,two,sedan,fwd,103,55.0,45,50,7099.0
nissan,gas,two,sedan,fwd,97,69.0,31,37,6649.0
nissan,gas,four,sedan,fwd,97,69.0,31,37,6849.0
nissan,gas,four,wagon,fwd,97,69.0,31,37,7349.0
nissan,gas,two,sedan,fwd,97,69.0,31,37,7299.0
nissan,gas,two,hatchback,fwd,97,69.0,31,37,7799.0
nissan,gas,four,sedan,fwd,97,69.0,31,37,7499.0
nissan,gas,four,wagon,fwd,97,69.0,31,37,7999.0
nissan,gas,two,hardtop,fwd,97,69.0,31,37,8249.0
nissan,gas,four,hatchback,fwd,120,97.0,27,34,8949.0
nissan,gas,four,sedan,fwd,120,97.0,27,34,9549.0
nissan,gas,four,sedan,fwd,181,152.0,17,22,13499.0
nissan,gas,four,wagon,fwd,181,152.0,17,22,14399.0
nissan,gas,four,sedan,fwd,181,152.0,19,25,13499.0
nissan,gas,two,hatchback,rwd,181,160.0,19,25,17199.0
nissan,gas,two,hatchback,rwd,181,200.0,17,23,19699.0
nissan,gas,two,hatchback,rwd,181,160.0,19,25,18399.0
peugot,gas,four,sedan,rwd,120,97.0,19,24,11900.0
peugot,diesel,four,sedan,rwd,152,95.0,28,33,13200.0
peugot,gas,four,wagon,rwd,120,97.0,19,24,12440.0
peugot,diesel,four,wagon,rwd,152,95.0,25,25,13860.0
peugot,gas,four,sedan,rwd,120,95.0,19,24,15580.0
peugot,diesel,four,sedan,rwd,152,95.0,28,33,16900.0
peugot,gas,four,wagon,rwd,120,95.0,19,24,16695.0
peugot,diesel,four,wagon,rwd,152,95.0,25,25,17075.0
peugot,gas,four,sedan,rwd,120,97.0,19,24,16630.0
peugot,diesel,four,sedan,rwd,152,95.0,28,33,17950.0
peugot,gas,four,sedan,rwd,134,142.0,18,24,18150.0
plymouth,gas,two,hatchback,fwd,90,68.0,37,41,5572.0
plymouth,gas,two,hatchback,fwd,98,102.0,24,30,7957.0
plymouth,gas,four,hatchback,fwd,90,68.0,31,38,6229.0
plymouth,gas,four,sedan,fwd,90,68.0,31,38,6692.0
plymouth,gas,four,sedan,fwd,98,68.0,31,38,7609.0
plymouth,gas,four,wagon,fwd,122,88.0,24,30,8921.0
plymouth,gas,two,hatchback,rwd,156,145.0,19,24,12764.0
porsche,gas,two,hatchback,rwd,151,143.0,19,27,22018.0
