engine-size,horsepower,city-mpg,price,fuel-type_diesel,fuel-type_gas,num-of-doors_four,num-of-doors_two,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd
130,111.0,21,13495.0,0,1,0,1,1,0,0,0,0,0,0,1
130,111.0,21,16500.0,0,1,0,1,1,0,0,0,0,0,0,1
152,154.0,19,16500.0,0,1,0,1,0,0,1,0,0,0,0,1
109,102.0,24,13950.0,0,1,1,0,0,0,0,1,0,0,1,0
136,115.0,18,17450.0,0,1,1,0,0,0,0,1,0,1,0,0
136,110.0,19,15250.0,0,1,0,1,0,0,0,1,0,0,1,0
136,110.0,19,17710.0,0,1,1,0,0,0,0,1,0,0,1,0
136,110.0,19,18920.0,0,1,1,0,0,0,0,0,1,0,1,0
131,140.0,17,23875.0,0,1,1,0,0,0,0,1,0,0,1,0
108,101.0,23,16430.0,0,1,0,1,0,0,0,1,0,0,0,1
108,101.0,23,16925.0,0,1,1,0,0,0,0,1,0,0,0,1
164,121.0,21,20970.0,0,1,0,1,0,0,0,1,0,0,0,1
164,121.0,21,21105.0,0,1,1,0,0,0,0,1,0,0,0,1
164,121.0,20,24565.0,0,1,1,0,0,0,0,1,0,0,0,1
209,182.0,16,30760.0,0,1,1,0,0,0,0,1,0,0,0,1
209,182.0,16,41315.0,0,1,0,1,0,0,0,1,0,0,0,1
209,182.0,15,36880.0,0,1,1,0,0,0,0,1,0,0,0,1
61,48.0,47,5151.0,0,1,0,1,0,0,1,0,0,0,1,0
90,70.0,38,6295.0,0,1,0,1,0,0,1,0,0,0,1,0
90,70.0,38,6575.0,0,1,1,0,0,0,0,1,0,0,1,0
90,68.0,37,5572.0,0,1,0,1,0,0,1,0,0,0,1,0
90,68.0,31,6377.0,0,1,0,1,0,0,1,0,0,0,1,0
98,102.0,24,7957.0,0,1,0,1,0,0,1,0,0,0,1,0
90,68.0,31,6229.0,0,1,1,0,0,0,1,0,0,0,1,0
90,68.0,31,6692.0,0,1,1,0,0,0,0,1,0,0,1,0
90,68.0,31,7609.0,0,1,1,0,0,0,0,1,0,0,1,0
98,102.0,24,8558.0,0,1,1,0,0,0,0,1,0,0,1,0
122,88.0,24,8921.0,0,1,1,0,0,0,0,0,1,0,1,0
156,145.0,19,12964.0,0,1,0,1,0,0,1,0,0,0,1,0
92,58.0,49,6479.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,31,6855.0,0,1,0,1,0,0,1,0,0,0,1,0
79,60.0,38,5399.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,30,6529.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,30,7129.0,0,1,0,1,0,0,1,0,0,0,1,0
