LoanAmountTerm,CreditHistory,LoanStatus,LoanAmountLog,IncomeLog,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3,Education_Graduate,Education_Not Graduate,SelfEmployed_No,SelfEmployed_Yes,PropertyArea_Rural,PropertyArea_Semiurban,PropertyArea_Urban
360.0,1.0,1,4.852030263919617,8.674025985443025,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.852030263919617,8.714567550836485,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
360.0,1.0,1,4.189654742026425,8.006367567650246,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
360.0,1.0,1,4.787491742782046,8.50532301884575,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
360.0,1.0,1,4.948759890378168,8.699514748210191,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,5.58724865840025,9.170871628065816,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
360.0,1.0,1,4.553876891600541,8.255568653283746,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
360.0,0.0,0,5.062595033026967,8.61974977974133,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
360.0,1.0,1,5.123963979403259,8.61830469278465,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,0,5.855071922202427,10.077818939438902,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.248495242049359,8.268731832117737,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,4.6913478822291435,8.375629627094451,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,5.298317366548036,9.321792297270326,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,0,4.736198448394496,8.453827315794417,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
120.0,1.0,1,2.833213344056216,7.776954403322442,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,4.8283137373023015,8.507142855562735,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
240.0,1.0,1,4.605170185988092,8.18757739559151,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
360.0,0.0,0,4.330733340286331,8.163371316459912,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.890349128221754,8.494333897270154,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
360.0,1.0,1,4.74493212836325,8.716044050161402,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
360.0,0.0,0,4.6443908991413725,8.943767262734637,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
360.0,1.0,1,5.752572638825633,9.357034751126987,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,0.0,0,4.7535901911063645,8.414274137408396,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
360.0,0.0,0,4.718498871295094,8.572060092857077,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
360.0,1.0,0,5.017279836814924,8.801168401936692,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
360.0,1.0,1,5.25227342804663,9.165343006045447,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
360.0,1.0,1,4.804021044733257,8.527539483470381,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.700480365792417,8.569026340056254,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
360.0,1.0,0,3.5553480614894135,7.273786317844895,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
360.0,1.0,1,4.787491742782046,8.671286726753637,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
360.0,1.0,0,5.303304908059076,8.927314111060596,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.30406509320417,8.06054004653864,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.663439094112067,8.453614209773367,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0
360.0,1.0,1,4.736198448394496,8.550047528287184,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
